loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,218,-9.671614,1.182710,1.888531,22.105951,119.362059,-25.413963
1,436,-8.324293,1.360802,2.438034,31.061113,126.750671,-2.316566
2,654,-7.338633,1.183240,2.038087,34.619539,112.458531,10.815746
3,872,-7.043326,0.573101,1.270140,35.637960,74.716428,16.766496
4,1090,-7.091525,-0.093586,-0.062321,38.177187,29.846966,16.395244
5,1308,-7.698230,-0.629608,-1.696417,28.459130,-34.427299,24.616729
6,1526,-8.369634,-0.724162,-1.376346,16.410196,-79.809788,23.120118
7,1744,-9.033731,-0.584139,-1.062401,7.224276,-109.711098,28.018540
8,1962,-9.524316,-0.959076,-0.477256,-6.326174,-127.060980,35.811625
9,2180,-9.787985,-1.332107,0.549996,-16.598666,-116.428753,30.912633
10,2398,-9.698285,-1.396583,0.424274,-32.943968,-93.117757,18.683174
11,2616,-10.315307,-1.114707,0.307598,-35.819255,-66.736813,18.554028
12,2834,-10.833569,-0.595677,-0.566589,-42.472287,-35.111186,-6.344130
13,3052,-11.621193,0.184154,-1.477397,-37.947370,-20.282227,-25.509743
14,3270,-12.216651,0.536455,-1.534309,-29.668819,18.460163,-36.240308
15,3488,-12.068672,0.694728,-1.412982,-21.564674,50.719601,-43.002844
16,3706,-11.575711,0.672275,-0.061190,-6.256144,83.936517,-42.271176
17,3924,-10.834747,0.797106,0.870298,13.077432,107.320239,-31.005803
18,4142,-9.815554,1.314648,2.151424,20.065475,118.718747,-18.746192
19,4360,-7.953999,1.279067,2.407523,36.047573,122.603248,-4.872043
20,4578,-7.330909,0.981787,2.120388,34.663927,111.862761,8.371019
21,4796,-6.699781,0.513637,1.255264,36.021448,69.226629,17.111395
22,5014,-7.022780,-0.315561,-0.115606,38.450895,25.695912,22.277368
23,5232,-7.872263,-0.562239,-1.521501,29.514599,-38.529961,28.315797
24,5450,-8.654405,-0.576299,-1.850350,16.448786,-84.020879,26.810097
25,5668,-8.900502,-0.689918,-1.315897,5.554690,-113.518234,28.440007
26,5886,-9.574689,-0.819841,-0.240796,-7.685747,-119.576447,30.796637
27,6104,-9.652561,-1.048592,0.526128,-23.440468,-116.094721,32.433796
28,6322,-9.940418,-1.327746,0.939500,-34.095086,-102.760538,22.647990
29,6540,-10.361433,-1.130737,0.448936,-36.748520,-70.360822,11.060719
30,6758,-11.053625,-0.584631,-0.497871,-39.995358,-39.409665,-5.607692
31,6976,-11.628262,0.126439,-1.352554,-33.218910,-10.605016,-23.486935
32,7194,-12.176325,0.750406,-2.150779,-26.139119,19.697292,-38.607031
33,7412,-11.915100,0.610344,-0.912405,-18.053811,52.201474,-45.955845
34,7630,-11.749058,0.702998,-0.323744,-2.572646,69.612194,-35.681324
35,7848,-10.607570,1.131226,0.887989,11.634400,122.419616,-33.832502
36,8066,-9.493731,1.228403,2.249674,25.455672,129.840155,-17.316170
37,8284,-8.299652,1.328964,2.734376,34.527227,113.869705,-1.917431
38,8502,-7.056163,1.244842,2.065051,39.753210,97.023158,7.217964
39,8720,-7.039422,0.437524,0.912279,38.328387,57.339323,14.575638
40,8938,-7.527621,-0.154997,-0.945055,34.828636,12.290919,25.073223
41,9156,-7.967673,-0.436012,-1.436346,25.270572,-48.502164,27.104972
42,9374,-8.504237,-0.565353,-0.846168,15.711971,-87.817285,25.611631
43,9592,-9.213408,-0.477411,-0.685231,-2.021344,-120.807420,28.621472
44,9810,-9.388819,-1.115970,-0.586738,-17.440671,-126.041097,28.762570
45,10028,-9.674998,-1.377942,0.302663,-30.253100,-112.434030,28.566111
46,10246,-9.859055,-1.283823,0.639843,-29.635259,-90.931423,18.375992
47,10464,-10.553709,-1.051260,-0.263794,-38.585882,-59.867837,6.241201
48,10682,-11.230126,-0.301142,-0.378972,-39.526431,-34.058660,-11.501071
49,10900,-11.798639,0.126379,-1.547043,-35.186660,6.207108,-24.087980
50,11118,-12.057448,0.475861,-1.633438,-30.183372,26.886138,-38.455418
51,11336,-12.272101,0.817057,-1.125625,-20.588823,57.474818,-45.854876
52,11554,-11.520251,0.768930,0.001084,-7.290147,78.450911,-38.282705
53,11772,-10.207280,1.195961,1.632820,6.512335,113.602544,-35.035862
54,11990,-8.839830,1.342852,2.026316,31.006705,127.798895,-20.025021
55,12208,-7.870659,1.277862,2.483529,32.818987,128.910830,-4.183455
56,12426,-7.150667,1.133240,1.650466,39.891695,99.609527,8.971364
57,12644,-6.964483,0.299525,0.419060,44.780390,60.047738,17.099951
58,12862,-7.525571,-0.363144,-0.396635,34.450167,4.307718,20.288966
59,13080,-7.985112,-0.568534,-1.273172,25.460127,-48.344236,24.813683
60,13298,-8.758192,-0.706360,-1.661445,11.720671,-101.059062,27.649830
61,13516,-9.245166,-0.579722,-0.417908,0.240219,-128.814571,26.546828
62,13734,-9.551966,-1.179234,-0.066593,-12.767471,-127.337718,26.801340
63,13952,-9.873150,-1.153896,0.573894,-28.244054,-113.119354,29.674620
64,14170,-10.164527,-1.288500,0.787543,-32.477134,-79.268662,17.190565
65,14388,-10.389389,-0.988720,-0.023528,-35.851580,-52.733257,5.070575
66,14606,-11.401138,-0.185665,-0.980405,-42.094196,-30.625189,-11.541414
67,14824,-12.188085,0.350942,-1.564833,-36.140539,6.189959,-27.281253
68,15042,-12.329276,0.498567,-1.601065,-29.786087,27.786076,-42.845086
69,15260,-12.091241,0.645097,-1.096769,-9.591775,60.121377,-45.539385
70,15478,-11.566949,0.824345,0.222824,5.190125,84.532969,-39.281077
71,15696,-10.226933,1.046486,1.449296,9.425449,116.822305,-25.316356
72,15914,-8.727968,1.570964,2.273710,26.406828,125.458997,-6.343653
73,16132,-8.039226,1.368610,2.124001,27.467760,109.892002,-2.235029
74,16350,-6.982506,0.778908,1.621620,36.104484,96.630541,8.934180
75,16568,-6.889800,0.095174,0.265570,39.494127,48.961300,22.498191
76,16786,-7.493764,-0.464095,-0.905142,32.144247,-2.404147,22.303425
77,17004,-8.194859,-0.486186,-1.585391,24.041331,-58.722689,27.663521
78,17222,-8.839158,-0.663100,-1.630045,14.099704,-103.900836,26.457941
79,17440,-9.577237,-0.664307,-1.021944,-4.174443,-117.610253,24.019149
80,17658,-9.585137,-1.072675,-0.102122,-11.471824,-116.533670,23.149585
81,17876,-10.011052,-1.276916,0.391006,-28.425417,-107.553149,28.123740
82,18094,-10.153363,-1.291517,0.437301,-31.801131,-84.675111,18.221972
